sku,product_name_clean,brand,raw_category,normalized_category,condition_normalized,quantity,mrp,floor_price,amazon_price,real_price,wholesale_price,match_confidence,unreliable_match,discount_percentage,market_gap,sellability_score,risk_score,expected_revenue,expected_cost,acquisition_cost,platform_fee_pct,ancillary_revenue_fee_pct,platform_fee_amount,inspection_cost,transport_cost,return_rate,return_provision,expected_profit,expected_margin_pct,expected_roi_pct,scenario_roi_low,scenario_roi_median,scenario_roi_high,recommendation,confidence_gate_applied,reasoning,product_name,category,condition,lot_name,city,item_type,model,sub_model_variant,functional_status,packaging_status,remarks,keywords,enrichment_source,price_ratio,wholesale_gap,price_band,expected_sellable_qty,expected_sell_price
bb-8219-14024-d485f7c1856e,Amazon Brand - Solimo Borosilicate Glass Bottle With Black Sipper Cap Anti-Slip Silicon Sleeve 1000 Ml,Amazon Brand - Solimo,Others > Sports and fitness > Fitness > Others,kitchen,not_tested,1,2399.0,268.0,1919.2,1079.55,,1.0,False,88.83,75.17,85.0,37.0,652.59,623.39,281.4,0.155,0.04,136.83,50.0,150.0,0.07,14.74,29.2,4.47,143.5,20.85,96.37,190.03,REVIEW,False,sellability 85 ≥ 60; risk 37 ≤ 60; margin 4.5% below 15.0%; ROI 143.5% ≥ 25.0%,Amazon Brand - Solimo Borosilicate Glass Bottle with Black Sipper Cap | Anti-Slip Silicon Sleeve | 1000 ml | Pack of 2,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Water Bottle,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'borosilicate', 'glass', 'bottle', 'black', 'sipper', 'cap', 'anti-slip', 'silicon', 'sleeve', '1000']",mrp_heuristic,0.1117,,HIGH,0.65,1079.55
bb-8219-14737-b25fa223c495,Amazon Brand - Solimo Modular Plastic Container And Dispenser - Blue,Amazon Brand - Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,1999.0,169.0,1599.2,899.5500000000001,,1.0,False,91.55,81.21,82.0,37.0,543.78,495.77,177.45,0.155,0.04,114.02,50.0,150.0,0.07,12.28,48.01,8.83,221.76,59.68,159.49,283.24,REVIEW,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin 8.8% below 15.0%; ROI 221.8% ≥ 25.0%,"Amazon Brand - Solimo Modular Plastic Container and Dispenser, Set of 2 (3000 Ml Each) - Blue",kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Cookie Jars - Non Metallic,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'modular', 'plastic', 'container', 'dispenser', 'blue']",mrp_heuristic,0.0845,,MID,0.65,899.55
bb-8219-14012-595790fb7abf,Amazon Brand - Solimo Stainless Steel Insulated Cola Bottle Superior Durability 100 Food-Safe Leak Proof Bpa-Free Cap,Amazon Brand - Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,1699.0,209.0,1359.2,764.5500000000001,,1.0,False,87.7,72.66,82.0,37.0,462.17,520.01,219.45,0.155,0.04,96.91,50.0,150.0,0.07,10.44,-57.84,-12.51,121.13,9.74,78.33,163.39,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -12.5% below 15.0%; ROI 121.1% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Stainless Steel Insulated Cola Bottle (1000ml) | Superior Durability | 100% Food-Safe | Leak Proof | BPA-Free Cap (Steel Finish),kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'stainless', 'steel', 'insulated', 'cola', 'bottle', 'superior', 'durability', '100', 'food-safe', 'leak', 'proof', 'bpa-free', 'cap']",mrp_heuristic,0.123,,MID,0.65,764.55
bb-8219-8065-67ecd91961fb,Amazon Brand - Solimo Stainless Steel Insulated Cola Dual Colour Bottle Superior Durability 100 Food-Safe Leak Proof Bpa-Free Cap,Amazon Brand - Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,1399.0,177.0,1119.2,629.5500000000001,,1.0,False,87.35,71.88,82.0,37.0,380.56,468.65,185.85,0.155,0.04,79.8,50.0,150.0,0.07,8.59,-88.09,-23.15,115.01,6.7,73.39,156.09,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -23.1% below 15.0%; ROI 115.0% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Stainless Steel Insulated Cola Dual Colour Bottle (500ml) | Superior Durability | 100% Food-Safe | Leak Proof | BPA-Free Cap (Blue & Pink),kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'stainless', 'steel', 'insulated', 'cola', 'dual', 'bottle', 'superior', 'durability', '100', 'food-safe', 'leak', 'proof', 'bpa-free', 'cap']",mrp_heuristic,0.1265,,MID,0.65,629.55
bb-8219-16928-e459fa37cd75,Amazon Brand - Solimo Stainless Steel Insulated Cola Dual Colour Bottle Superior Durability 100 Food-Safe Leak Proof Bpa-Free Cap,Amazon Brand - Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,1399.0,177.0,1119.2,629.5500000000001,,1.0,False,87.35,71.88,82.0,37.0,380.56,468.65,185.85,0.155,0.04,79.8,50.0,150.0,0.07,8.59,-88.09,-23.15,115.01,6.7,73.39,156.09,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -23.1% below 15.0%; ROI 115.0% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Stainless Steel Insulated Cola Dual Colour Bottle (500ml) | Superior Durability | 100% Food-Safe | Leak Proof | BPA-Free Cap (Blue & Pink),kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'stainless', 'steel', 'insulated', 'cola', 'dual', 'bottle', 'superior', 'durability', '100', 'food-safe', 'leak', 'proof', 'bpa-free', 'cap']",mrp_heuristic,0.1265,,MID,0.65,629.55
bb-8219-6092-ae1c2c93458f,Amazon Brand - Solimo Slim High Microwave Safe Office Two Compartment Lunch Box Set Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent,Amazon Brand - Solimo,Fashion and Style > Beauty and Grooming products > Make up > Nails product > Nail polish,kitchen,not_tested,1,1499.0,229.0,1199.2,674.5500000000001,,1.0,False,84.72,66.05,82.0,37.0,407.77,529.17,240.45,0.155,0.04,85.5,50.0,150.0,0.07,9.21,-121.41,-29.77,78.06,-11.63,43.6,112.09,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -29.8% below 15.0%; ROI 78.1% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Slim High Microwave Safe Office Two Compartment Lunch Box Set | Borosilicate Glass | Safety Lock Airtight Tiffin Containers (1350 ml) | Transparent,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Nail Polish,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'slim', 'high', 'microwave', 'safe', 'office', 'two', 'compartment', 'lunch', 'box', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent']",mrp_heuristic,0.1528,,MID,0.65,674.55
bb-8219-15556-afebe2a78521,Amazon Brand - Solimo Slim High Microwave Safe Office Two Compartment Lunch Box Set Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent,Amazon Brand - Solimo,Fashion and Style > Beauty and Grooming products > Make up > Nails product > Nail polish,kitchen,not_tested,1,1499.0,229.0,1199.2,674.5500000000001,,1.0,False,84.72,66.05,82.0,37.0,407.77,529.17,240.45,0.155,0.04,85.5,50.0,150.0,0.07,9.21,-121.41,-29.77,78.06,-11.63,43.6,112.09,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -29.8% below 15.0%; ROI 78.1% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Slim High Microwave Safe Office Two Compartment Lunch Box Set | Borosilicate Glass | Safety Lock Airtight Tiffin Containers (1350 ml) | Transparent,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Nail Polish,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'slim', 'high', 'microwave', 'safe', 'office', 'two', 'compartment', 'lunch', 'box', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent']",mrp_heuristic,0.1528,,MID,0.65,674.55
bb-8219-16231-57e84f7b0750,Amazon Brand - Solimo Borosilicate Glass Fridge Bottle With Leak Proof Sporty Stainless Steel Cap 1000 Ml,Amazon Brand - Solimo,Others > Sports and fitness > Fitness > Others,kitchen,not_tested,1,1399.0,225.0,1119.2,629.5500000000001,,1.0,False,83.92,64.26,82.0,37.0,380.56,519.05,236.25,0.155,0.04,79.8,50.0,150.0,0.07,8.59,-138.49,-36.39,69.14,-16.06,36.4,101.46,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -36.4% below 15.0%; ROI 69.1% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Borosilicate Glass Fridge Bottle with Leak Proof Sporty Stainless Steel Cap | 1000 ml | Pack of 2,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Water Bottle,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'borosilicate', 'glass', 'fridge', 'bottle', 'leak', 'proof', 'sporty', 'stainless', 'steel', 'cap', '1000']",mrp_heuristic,0.1608,,MID,0.65,629.55
bb-8219-2335-1ad49912914f,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set For Office With Bag Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent Slim Design,Amazon Brand - Solimo,Others > Kitchenware > Kitchen Storage > Lunch box,kitchen,not_tested,1,1199.0,190.0,959.2,539.5500000000001,,1.0,False,84.15,64.79,82.0,37.0,326.16,470.47,199.5,0.155,0.04,68.39,50.0,150.0,0.07,7.36,-144.31,-44.24,71.66,-14.81,38.44,104.46,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -44.2% below 15.0%; ROI 71.7% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set for Office with Bag | Borosilicate Glass | Safety Lock Airtight Tiffin Containers (540 ml) | Transparent | Slim Design,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Lunch Box,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'microwave', 'safe', 'two', 'compartment', 'lunch', 'box', 'office', 'bag', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent', 'slim', 'design']",mrp_heuristic,0.1585,,MID,0.65,539.55
bb-8219-2625-1a9f9088abb3,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set For Office With Bag Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent Slim Design,Amazon Brand - Solimo,Others > Kitchenware > Kitchen Storage > Lunch box,kitchen,not_tested,1,1199.0,190.0,959.2,539.5500000000001,,1.0,False,84.15,64.79,82.0,37.0,326.16,470.47,199.5,0.155,0.04,68.39,50.0,150.0,0.07,7.36,-144.31,-44.24,71.66,-14.81,38.44,104.46,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -44.2% below 15.0%; ROI 71.7% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set for Office with Bag | Borosilicate Glass | Safety Lock Airtight Tiffin Containers (540 ml) | Transparent | Slim Design,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Lunch Box,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'microwave', 'safe', 'two', 'compartment', 'lunch', 'box', 'office', 'bag', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent', 'slim', 'design']",mrp_heuristic,0.1585,,MID,0.65,539.55
