sku,sku_cluster_id,product_name_clean,brand,raw_category,normalized_category,condition_normalized,quantity,platform,mrp,floor_price,amazon_price,real_price,wholesale_price,match_confidence,unreliable_match,discount_percentage,market_gap,sellability_score,risk_score,expected_revenue,expected_cost,acquisition_cost,platform_fee_pct,ancillary_revenue_fee_pct,platform_fee_amount,inspection_cost,transport_cost,return_rate,return_provision,holding_days,holding_cost,expected_profit,expected_profit_p5,expected_profit_p50,expected_profit_p95,expected_margin_pct,expected_roi_pct,expected_roi_p5,expected_roi_p95,prob_profit_positive,scenario_roi_low,scenario_roi_median,scenario_roi_high,recommendation,confidence_gate_applied,reasoning,product_name,category,condition,lot_name,city,item_type,model,sub_model_variant,functional_status,packaging_status,remarks,keywords,brand_cluster_id,category_cluster_id,enrichment_source,amazon_bsr,price_ratio,wholesale_gap,price_band,velocity_estimate,velocity_confidence,expected_sellable_qty,expected_sell_price
bb-8219-14024-d485f7c1856e,c0,Amazon Brand - Solimo Borosilicate Glass Bottle With Black Sipper Cap Anti-Slip Silicon Sleeve 1000 Ml,Solimo,Others > Sports and fitness > Fitness > Others,kitchen,not_tested,1,flipkart,2399.0,268.0,1919.2,1079.55,,1.0,False,88.83,75.17,79.0,37.0,652.59,625.5,281.4,0.14,0.04,126.31,50.0,150.0,0.07,14.74,90,11.89,27.09,-120.84,29.09,170.77,4.15,143.5,76.89,208.07,0.612,20.85,96.37,190.03,REVIEW,False,sellability 79 ≥ 60; risk 37 ≤ 60; margin 4.2% below 15.0%; ROI 143.5% ≥ 25.0%,Amazon Brand - Solimo Borosilicate Glass Bottle with Black Sipper Cap | Anti-Slip Silicon Sleeve | 1000 ml | Pack of 2,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Water Bottle,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'borosilicate', 'glass', 'bottle', 'black', 'sipper', 'cap', 'anti-slip', 'silicon', 'sleeve', '1000']",solimo,kitchen,mrp_heuristic,,0.1117,,HIGH,0.65,0.0,0.65,1079.55
bb-8219-14737-b25fa223c495,c8,Amazon Brand - Solimo Modular Plastic Container And Dispenser - Blue,Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,flipkart,1999.0,169.0,1599.2,899.5500000000001,,1.0,False,91.55,81.21,76.0,37.0,543.78,495.11,177.45,0.14,0.04,105.25,50.0,150.0,0.07,12.28,90,7.5,48.67,-68.62,52.92,173.62,8.95,221.76,139.36,307.99,0.743,59.68,159.49,283.24,REVIEW,False,sellability 76 ≥ 60; risk 37 ≤ 60; margin 8.9% below 15.0%; ROI 221.8% ≥ 25.0%,"Amazon Brand - Solimo Modular Plastic Container and Dispenser, Set of 2 (3000 Ml Each) - Blue",kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Cookie Jars - Non Metallic,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'modular', 'plastic', 'container', 'dispenser', 'blue']",solimo,kitchen,mrp_heuristic,,0.0845,,MID,0.65,0.0,0.65,899.55
bb-8219-14012-595790fb7abf,c11,Amazon Brand - Solimo Stainless Steel Insulated Cola Bottle Superior Durability 100 Food-Safe Leak Proof Bpa-Free Cap,Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,flipkart,1699.0,209.0,1359.2,764.5500000000001,,1.0,False,87.7,72.66,76.0,37.0,462.17,522.35,219.45,0.14,0.04,89.45,50.0,150.0,0.07,10.44,90,9.28,-60.18,-166.36,-56.64,41.77,-13.02,121.13,61.55,178.96,0.174,9.74,78.33,163.39,SKIP,False,sellability 76 ≥ 60; risk 37 ≤ 60; margin -13.0% below 15.0%; ROI 121.1% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Stainless Steel Insulated Cola Bottle (1000ml) | Superior Durability | 100% Food-Safe | Leak Proof | BPA-Free Cap (Steel Finish),kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'stainless', 'steel', 'insulated', 'cola', 'bottle', 'superior', 'durability', '100', 'food-safe', 'leak', 'proof', 'bpa-free', 'cap']",solimo,kitchen,mrp_heuristic,,0.123,,MID,0.65,0.0,0.65,764.55
bb-8219-8065-67ecd91961fb,c11,Amazon Brand - Solimo Stainless Steel Insulated Cola Dual Colour Bottle Superior Durability 100 Food-Safe Leak Proof Bpa-Free Cap,Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,flipkart,1399.0,177.0,1119.2,629.5500000000001,,1.0,False,87.35,71.88,76.0,37.0,380.56,470.8,185.85,0.14,0.04,73.66,50.0,150.0,0.07,8.59,90,7.86,-90.24,-181.54,-87.3,-2.12,-23.71,115.01,53.61,173.66,0.047,6.7,73.39,156.09,SKIP,False,sellability 76 ≥ 60; risk 37 ≤ 60; margin -23.7% below 15.0%; ROI 115.0% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Stainless Steel Insulated Cola Dual Colour Bottle (500ml) | Superior Durability | 100% Food-Safe | Leak Proof | BPA-Free Cap (Blue & Pink),kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'stainless', 'steel', 'insulated', 'cola', 'dual', 'bottle', 'superior', 'durability', '100', 'food-safe', 'leak', 'proof', 'bpa-free', 'cap']",solimo,kitchen,mrp_heuristic,,0.1265,,MID,0.65,0.0,0.65,629.55
bb-8219-16928-e459fa37cd75,c11,Amazon Brand - Solimo Stainless Steel Insulated Cola Dual Colour Bottle Superior Durability 100 Food-Safe Leak Proof Bpa-Free Cap,Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,flipkart,1399.0,177.0,1119.2,629.5500000000001,,1.0,False,87.35,71.88,76.0,37.0,380.56,470.8,185.85,0.14,0.04,73.66,50.0,150.0,0.07,8.59,90,7.86,-90.24,-180.03,-89.66,-12.01,-23.71,115.01,54.18,168.79,0.03,6.7,73.39,156.09,SKIP,False,sellability 76 ≥ 60; risk 37 ≤ 60; margin -23.7% below 15.0%; ROI 115.0% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Stainless Steel Insulated Cola Dual Colour Bottle (500ml) | Superior Durability | 100% Food-Safe | Leak Proof | BPA-Free Cap (Blue & Pink),kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'stainless', 'steel', 'insulated', 'cola', 'dual', 'bottle', 'superior', 'durability', '100', 'food-safe', 'leak', 'proof', 'bpa-free', 'cap']",solimo,kitchen,mrp_heuristic,,0.1265,,MID,0.65,0.0,0.65,629.55
bb-8219-6092-ae1c2c93458f,c7,Amazon Brand - Solimo Slim High Microwave Safe Office Two Compartment Lunch Box Set Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent,Solimo,Fashion and Style > Beauty and Grooming products > Make up > Nails product > Nail polish,kitchen,not_tested,1,flipkart,1499.0,229.0,1199.2,674.5500000000001,,1.0,False,84.72,66.05,76.0,37.0,407.77,533.22,240.45,0.14,0.04,78.92,50.0,150.0,0.07,9.21,90,10.16,-125.45,-224.63,-119.34,-29.83,-30.77,78.06,27.55,127.48,0.009,-11.63,43.6,112.09,SKIP,False,sellability 76 ≥ 60; risk 37 ≤ 60; margin -30.8% below 15.0%; ROI 78.1% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Slim High Microwave Safe Office Two Compartment Lunch Box Set | Borosilicate Glass | Safety Lock Airtight Tiffin Containers (1350 ml) | Transparent,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Nail Polish,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'slim', 'high', 'microwave', 'safe', 'office', 'two', 'compartment', 'lunch', 'box', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent']",solimo,kitchen,mrp_heuristic,,0.1528,,MID,0.65,0.0,0.65,674.55
bb-8219-15556-afebe2a78521,c7,Amazon Brand - Solimo Slim High Microwave Safe Office Two Compartment Lunch Box Set Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent,Solimo,Fashion and Style > Beauty and Grooming products > Make up > Nails product > Nail polish,kitchen,not_tested,1,flipkart,1499.0,229.0,1199.2,674.5500000000001,,1.0,False,84.72,66.05,76.0,37.0,407.77,533.22,240.45,0.14,0.04,78.92,50.0,150.0,0.07,9.21,90,10.16,-125.45,-222.22,-124.98,-33.93,-30.77,78.06,25.31,125.73,0.007,-11.63,43.6,112.09,SKIP,False,sellability 76 ≥ 60; risk 37 ≤ 60; margin -30.8% below 15.0%; ROI 78.1% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Slim High Microwave Safe Office Two Compartment Lunch Box Set | Borosilicate Glass | Safety Lock Airtight Tiffin Containers (1350 ml) | Transparent,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Nail Polish,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'slim', 'high', 'microwave', 'safe', 'office', 'two', 'compartment', 'lunch', 'box', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent']",solimo,kitchen,mrp_heuristic,,0.1528,,MID,0.65,0.0,0.65,674.55
bb-8219-16231-57e84f7b0750,c1,Amazon Brand - Solimo Borosilicate Glass Fridge Bottle With Leak Proof Sporty Stainless Steel Cap 1000 Ml,Solimo,Others > Sports and fitness > Fitness > Others,kitchen,not_tested,1,flipkart,1399.0,225.0,1119.2,629.5500000000001,,1.0,False,83.92,64.26,76.0,37.0,380.56,523.33,236.25,0.14,0.04,73.66,50.0,150.0,0.07,8.59,90,9.99,-142.77,-229.67,-141.96,-59.14,-37.51,69.14,24.36,112.95,0.0,-16.06,36.4,101.46,SKIP,False,sellability 76 ≥ 60; risk 37 ≤ 60; margin -37.5% below 15.0%; ROI 69.1% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Borosilicate Glass Fridge Bottle with Leak Proof Sporty Stainless Steel Cap | 1000 ml | Pack of 2,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Water Bottle,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'borosilicate', 'glass', 'fridge', 'bottle', 'leak', 'proof', 'sporty', 'stainless', 'steel', 'cap', '1000']",solimo,kitchen,mrp_heuristic,,0.1608,,MID,0.65,0.0,0.65,629.55
bb-8219-2335-1ad49912914f,c7,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set For Office With Bag Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent Slim Design,Solimo,Others > Kitchenware > Kitchen Storage > Lunch box,kitchen,not_tested,1,flipkart,1199.0,190.0,959.2,539.5500000000001,,1.0,False,84.15,64.79,76.0,37.0,326.16,474.01,199.5,0.14,0.04,63.13,50.0,150.0,0.07,7.36,90,8.43,-147.85,-222.15,-148.76,-73.43,-45.33,71.66,23.84,117.75,0.0,-14.81,38.44,104.46,SKIP,False,sellability 76 ≥ 60; risk 37 ≤ 60; margin -45.3% below 15.0%; ROI 71.7% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set for Office with Bag | Borosilicate Glass | Safety Lock Airtight Tiffin Containers (540 ml) | Transparent | Slim Design,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Lunch Box,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'microwave', 'safe', 'two', 'compartment', 'lunch', 'box', 'office', 'bag', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent', 'slim', 'design']",solimo,kitchen,mrp_heuristic,,0.1585,,MID,0.65,0.0,0.65,539.55
bb-8219-2625-1a9f9088abb3,c7,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set For Office With Bag Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent Slim Design,Solimo,Others > Kitchenware > Kitchen Storage > Lunch box,kitchen,not_tested,1,flipkart,1199.0,190.0,959.2,539.5500000000001,,1.0,False,84.15,64.79,76.0,37.0,326.16,474.01,199.5,0.14,0.04,63.13,50.0,150.0,0.07,7.36,90,8.43,-147.85,-225.54,-144.16,-78.8,-45.33,71.66,23.94,115.74,0.0,-14.81,38.44,104.46,SKIP,False,sellability 76 ≥ 60; risk 37 ≤ 60; margin -45.3% below 15.0%; ROI 71.7% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set for Office with Bag | Borosilicate Glass | Safety Lock Airtight Tiffin Containers (540 ml) | Transparent | Slim Design,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Lunch Box,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'microwave', 'safe', 'two', 'compartment', 'lunch', 'box', 'office', 'bag', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent', 'slim', 'design']",solimo,kitchen,mrp_heuristic,,0.1585,,MID,0.65,0.0,0.65,539.55
